Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors,Origen
MEM,0.1,0:32:59,0.8817,0.8817,0.8817,0.8804,100,0.1,0.373,0.3571,0.2698,finales
MEM,0.25,1:10:39,0.8414,0.8671,0.8414,0.8274,100,0.25,0.3333,0.354,0.3127,finales
MEM,0.5,2:09:27,0.8441,0.8509,0.8441,0.8385,100,0.5,0.3524,0.3222,0.3254,finales
MEM,0.75,3:11:37,0.8306,0.8467,0.8306,0.8257,100,0.75,0.3307,0.3275,0.3418,finales
MEM,0.1,0:52:48,0.8226,0.8389,0.8226,0.8111,100,0.1,0.3373,0.2857,0.377,finales
MEM,0.25,1:21:02,0.8253,0.8332,0.8253,0.8191,100,0.25,0.3444,0.3016,0.354,finales
MEM,0.5,2:29:27,0.8038,0.8242,0.8038,0.7977,100,0.5,0.3341,0.3278,0.3381,finales
MEM,0.75,3:35:40,0.8199,0.8474,0.8199,0.81,100,0.75,0.3354,0.3344,0.3302,finales
MEM,0.1,0:52:46,0.8253,0.8347,0.8253,0.8222,100,0.1,0.4365,0.2778,0.2857,finales
MEM,0.25,1:20:54,0.7796,0.7964,0.7796,0.7702,100,0.25,0.3238,0.3175,0.3587,finales
MEM,0.5,2:28:35,0.8091,0.8313,0.8091,0.8057,100,0.5,0.3373,0.3286,0.3341,finales
MEM,0.75,3:34:52,0.8226,0.8412,0.8226,0.8183,100,0.75,0.3376,0.3275,0.3349,finales
GEN,0.1,0:24:38,0.8414,0.8455,0.8414,0.8367,100,0.1,0.3214,0.3254,0.3532,finales_2
GEN,0.25,0:50:27,0.8253,0.8315,0.8253,0.8206,100,0.25,0.3286,0.3286,0.3429,finales_2
GEN,0.5,1:34:33,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532,finales_2
GEN,0.75,2:17:08,0.8306,0.8488,0.8306,0.8192,100,0.75,0.3386,0.3444,0.3169,finales_2
GEN,0.1,0:30:34,0.7634,0.7959,0.7634,0.7484,100,0.1,0.3294,0.3214,0.3492,finales_2
GEN,0.25,1:01:51,0.8145,0.8257,0.8145,0.8048,100,0.25,0.3492,0.319,0.3317,finales_2
GEN,0.5,1:55:51,0.8011,0.8188,0.8011,0.7952,100,0.5,0.3246,0.3484,0.327,finales_2
GEN,0.75,2:48:01,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales_2
GEN,0.1,0:31:55,0.8844,0.8861,0.8844,0.8838,100,0.1,0.3968,0.3254,0.2778,finales_2
GEN,0.25,1:04:57,0.8414,0.8429,0.8414,0.8367,100,0.25,0.3444,0.3143,0.3413,finales_2
GEN,0.5,2:01:09,0.8199,0.8339,0.8199,0.8127,100,0.5,0.331,0.3341,0.3349,finales_2
GEN,0.75,2:53:42,0.8414,0.8498,0.8414,0.8366,100,0.75,0.3307,0.3323,0.337,finales_2
GEN,0.1,0:31:00,0.8038,0.8161,0.8038,0.7935,100,0.1,0.3294,0.3214,0.3492,finales_2
GEN,0.25,1:02:11,0.8199,0.8313,0.8199,0.8133,100,0.25,0.3587,0.3302,0.3111,finales_2
GEN,0.5,1:56:19,0.8253,0.8479,0.8253,0.8146,100,0.5,0.3397,0.331,0.3294,finales_2
GEN,0.75,2:48:34,0.828,0.8474,0.828,0.8217,100,0.75,0.3344,0.3323,0.3333,finales_2
GEN,0.1,0:24:26,0.8253,0.8437,0.8253,0.8163,100,0.1,0.3532,0.2778,0.369,finales_2
GEN,0.25,0:50:12,0.7688,0.7998,0.7688,0.7619,100,0.25,0.3048,0.346,0.3492,finales_2
GEN,0.5,1:33:29,0.8091,0.8223,0.8091,0.7986,100,0.5,0.3397,0.3325,0.3278,finales_2
GEN,0.75,2:16:15,0.8226,0.84,0.8226,0.8181,100,0.75,0.3296,0.3339,0.3365,finales_2
WC,0.1,0:24:11,0.828,0.8298,0.828,0.8217,100,0.1,0.3532,0.3095,0.3373,finales_2
WC,0.25,0:49:55,0.8387,0.8451,0.8387,0.8345,100,0.25,0.3222,0.3238,0.354,finales_2
WC,0.5,1:33:07,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532,finales_2
WC,0.75,2:16:55,0.8226,0.8328,0.8226,0.8146,100,0.75,0.3397,0.3354,0.3249,finales_2
WC,0.1,0:29:44,0.7984,0.8142,0.7984,0.7872,100,0.1,0.381,0.25,0.369,finales_2
WC,0.25,1:01:43,0.8038,0.8232,0.8038,0.7978,100,0.25,0.3524,0.3286,0.319,finales_2
WC,0.5,1:55:01,0.8118,0.8202,0.8118,0.8053,100,0.5,0.3556,0.3206,0.3238,finales_2
WC,0.75,2:47:30,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales_2
WC,0.1,0:30:23,0.8763,0.877,0.8763,0.8762,100,0.1,0.381,0.3492,0.2698,finales_2
WC,0.25,1:03:28,0.8602,0.8643,0.8602,0.8559,100,0.25,0.346,0.327,0.327,finales_2
WC,0.5,1:58:38,0.8226,0.8388,0.8226,0.8137,100,0.5,0.3484,0.3206,0.331,finales_2
WC,0.75,2:52:41,0.828,0.8412,0.828,0.8238,100,0.75,0.337,0.3238,0.3392,finales_2
WC,0.1,0:30:06,0.8306,0.8389,0.8306,0.8222,100,0.1,0.3214,0.2857,0.3929,finales_2
WC,0.25,1:01:56,0.8065,0.8236,0.8065,0.7964,100,0.25,0.3365,0.3079,0.3556,finales_2
WC,0.5,1:55:51,0.8118,0.8253,0.8118,0.8038,100,0.5,0.3444,0.3294,0.3262,finales_2
WC,0.75,2:48:00,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339,finales_2
WC,0.1,0:23:52,0.8495,0.8521,0.8495,0.8474,100,0.1,0.3452,0.3492,0.3056,finales_2
WC,0.25,0:50:22,0.8118,0.828,0.8118,0.8046,100,0.25,0.3095,0.3397,0.3508,finales_2
WC,0.5,1:34:59,0.8091,0.8241,0.8091,0.8032,100,0.5,0.3238,0.3452,0.331,finales_2
WC,0.75,2:18:18,0.8226,0.8395,0.8226,0.8178,100,0.75,0.3312,0.3365,0.3323,finales_2
WC-F,0.1,0:34:29,0.828,0.833,0.828,0.8212,100,0.1714,0.3241,0.3495,0.3264,finales_2
WC-F,0.25,1:01:17,0.8145,0.828,0.8145,0.8084,100,0.4921,0.3371,0.3298,0.3331,finales_2
WC-F,0.5,2:14:05,0.8199,0.8375,0.8199,0.8127,100,0.623,0.3331,0.335,0.3318,finales_2
WC-F,0.75,2:12:18,0.8118,0.8326,0.8118,0.7996,100,0.75,0.3397,0.3354,0.3249,finales_2
WC-F,0.1,0:45:00,0.8091,0.8283,0.8091,0.801,100,0.2698,0.3471,0.3147,0.3382,finales_2
WC-F,0.25,1:03:02,0.8065,0.8213,0.8065,0.8003,100,0.2274,0.3525,0.3159,0.3316,finales_2
WC-F,0.5,1:42:01,0.8118,0.8375,0.8118,0.8082,100,0.4476,0.3271,0.3324,0.3404,finales_2
WC-F,0.75,2:30:57,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales_2
WC-F,0.1,0:29:07,0.8925,0.8965,0.8925,0.8925,100,0.071,0.419,0.3352,0.2458,finales_2
WC-F,0.25,1:29:07,0.8333,0.8358,0.8333,0.8288,100,0.2282,0.3513,0.327,0.3217,finales_2
WC-F,0.5,1:20:27,0.871,0.882,0.871,0.8667,100,0.2726,0.3581,0.329,0.313,finales_2
WC-F,0.75,3:08:14,0.8306,0.84,0.8306,0.8226,100,0.6361,0.35,0.3144,0.3356,finales_2
