

---------------------------------------RPS  mobilenet  BUSQUEDA LOCAL (LIBRE)  6%----------------------------------------------
Evaluación 95 -> 2025-04-22 15:42:15.674761 UTC
Evaluación 96 -> 2025-04-22 15:45:11.351130 UTC
Evaluación 97 -> 2025-04-22 15:48:00.498932 UTC
Evaluación 98 -> 2025-04-22 15:50:56.356266 UTC
Evaluación 99 -> 2025-04-22 15:53:42.241736 UTC
Evaluación 100 -> 2025-04-22 15:56:31.250991 UTC


---------------------------------------RPS  mobilenet  BUSQUEDA LOCAL (LIBRE)  50%----------------------------------------------

Start time: 2025-04-22 15:59:34.882242 UTC
Evaluación 1 -> 2025-04-22 16:02:02.621906 UTC
Evaluación 2 -> 2025-04-22 16:04:25.593276 UTC
Evaluación 3 -> 2025-04-22 16:06:36.214360 UTC
Evaluación 4 -> 2025-04-22 16:08:40.610358 UTC
Evaluación 5 -> 2025-04-22 16:10:46.723772 UTC
Evaluación 6 -> 2025-04-22 16:12:52.689303 UTC
Evaluación 7 -> 2025-04-22 16:14:52.875762 UTC
Evaluación 8 -> 2025-04-22 16:16:56.396988 UTC
Evaluación 9 -> 2025-04-22 16:19:01.558148 UTC
Evaluación 10 -> 2025-04-22 16:21:07.729975 UTC
Evaluación 11 -> 2025-04-22 16:23:06.919923 UTC
Evaluación 12 -> 2025-04-22 16:25:11.522858 UTC
Evaluación 13 -> 2025-04-22 16:27:35.139558 UTC
Evaluación 14 -> 2025-04-22 16:29:38.646576 UTC
Evaluación 15 -> 2025-04-22 16:32:03.921695 UTC
Evaluación 16 -> 2025-04-22 16:34:12.150964 UTC
Evaluación 17 -> 2025-04-22 16:36:14.162083 UTC
Evaluación 18 -> 2025-04-22 16:38:14.112413 UTC
Evaluación 19 -> 2025-04-22 16:40:27.509792 UTC
Evaluación 20 -> 2025-04-22 16:42:25.080698 UTC
Evaluación 21 -> 2025-04-22 16:44:35.202502 UTC
Evaluación 22 -> 2025-04-22 16:46:38.775898 UTC
Evaluación 23 -> 2025-04-22 16:48:52.337410 UTC
Evaluación 24 -> 2025-04-22 16:50:58.254438 UTC
Evaluación 25 -> 2025-04-22 16:53:00.805599 UTC
Evaluación 26 -> 2025-04-22 16:55:01.678880 UTC
Evaluación 27 -> 2025-04-22 16:57:08.157402 UTC
Evaluación 28 -> 2025-04-22 16:59:14.793324 UTC
Evaluación 29 -> 2025-04-22 17:01:15.769892 UTC
Evaluación 30 -> 2025-04-22 17:03:23.510559 UTC
Evaluación 31 -> 2025-04-22 17:05:24.737305 UTC
Evaluación 32 -> 2025-04-22 17:07:24.604676 UTC
Evaluación 33 -> 2025-04-22 17:09:27.090111 UTC
Evaluación 34 -> 2025-04-22 17:11:34.407099 UTC
Evaluación 35 -> 2025-04-22 17:13:34.746498 UTC
Evaluación 36 -> 2025-04-22 17:15:39.103618 UTC
Evaluación 37 -> 2025-04-22 17:17:41.294720 UTC
Evaluación 38 -> 2025-04-22 17:19:45.739036 UTC
Evaluación 39 -> 2025-04-22 17:21:47.809803 UTC
Evaluación 40 -> 2025-04-22 17:23:43.743300 UTC
Evaluación 41 -> 2025-04-22 17:25:37.274123 UTC
Evaluación 42 -> 2025-04-22 17:27:34.615783 UTC
Evaluación 43 -> 2025-04-22 17:29:38.334793 UTC
Evaluación 44 -> 2025-04-22 17:31:30.068920 UTC
Evaluación 45 -> 2025-04-22 17:33:26.099272 UTC
Evaluación 46 -> 2025-04-22 17:35:23.448970 UTC
Evaluación 47 -> 2025-04-22 17:37:13.364201 UTC
Evaluación 48 -> 2025-04-22 17:39:03.694866 UTC
Evaluación 49 -> 2025-04-22 17:40:54.093646 UTC
Evaluación 50 -> 2025-04-22 17:42:48.122761 UTC
Evaluación 51 -> 2025-04-22 17:44:40.321558 UTC
Evaluación 52 -> 2025-04-22 17:46:27.256922 UTC
Evaluación 53 -> 2025-04-22 17:48:21.267325 UTC
Evaluación 54 -> 2025-04-22 17:50:08.938427 UTC
Evaluación 55 -> 2025-04-22 17:52:02.009802 UTC
Evaluación 56 -> 2025-04-22 17:53:58.047607 UTC
Evaluación 57 -> 2025-04-22 17:55:41.837386 UTC
Evaluación 58 -> 2025-04-22 17:57:26.842446 UTC
Evaluación 59 -> 2025-04-22 17:59:14.899127 UTC
Evaluación 60 -> 2025-04-22 18:01:05.270838 UTC
Evaluación 61 -> 2025-04-22 18:02:49.484305 UTC
Evaluación 62 -> 2025-04-22 18:04:33.913178 UTC
Evaluación 63 -> 2025-04-22 18:06:21.392760 UTC
Evaluación 64 -> 2025-04-22 18:08:04.804890 UTC
Evaluación 65 -> 2025-04-22 18:09:48.529946 UTC
Evaluación 66 -> 2025-04-22 18:11:32.675969 UTC
Evaluación 67 -> 2025-04-22 18:13:18.277721 UTC
Evaluación 68 -> 2025-04-22 18:15:02.515318 UTC
Evaluación 69 -> 2025-04-22 18:16:45.458627 UTC
Evaluación 70 -> 2025-04-22 18:18:30.106885 UTC
Evaluación 71 -> 2025-04-22 18:20:11.315475 UTC
Evaluación 72 -> 2025-04-22 18:21:52.571925 UTC
Evaluación 73 -> 2025-04-22 18:23:34.587224 UTC
Evaluación 74 -> 2025-04-22 18:25:15.511166 UTC
Evaluación 75 -> 2025-04-22 18:26:59.592990 UTC
Evaluación 76 -> 2025-04-22 18:28:55.011431 UTC
Evaluación 77 -> 2025-04-22 18:30:39.700289 UTC
Evaluación 78 -> 2025-04-22 18:32:30.228240 UTC
Evaluación 79 -> 2025-04-22 18:34:18.292754 UTC
Evaluación 80 -> 2025-04-22 18:36:10.545306 UTC
Evaluación 81 -> 2025-04-22 18:38:02.217902 UTC
Evaluación 82 -> 2025-04-22 18:39:47.892290 UTC
Evaluación 83 -> 2025-04-22 18:41:34.025530 UTC
Evaluación 84 -> 2025-04-22 18:43:21.296276 UTC
Evaluación 85 -> 2025-04-22 18:45:08.007935 UTC
Evaluación 86 -> 2025-04-22 18:47:01.416657 UTC
Evaluación 87 -> 2025-04-22 18:48:53.730436 UTC
Evaluación 88 -> 2025-04-22 18:50:41.297500 UTC
Evaluación 89 -> 2025-04-22 18:52:34.986528 UTC
Evaluación 90 -> 2025-04-22 18:54:26.596755 UTC
Evaluación 91 -> 2025-04-22 18:56:16.034826 UTC
Evaluación 92 -> 2025-04-22 18:58:05.058901 UTC
Evaluación 93 -> 2025-04-22 18:59:53.918215 UTC
Evaluación 94 -> 2025-04-22 19:01:40.885620 UTC
Evaluación 95 -> 2025-04-22 19:03:30.867749 UTC
Evaluación 96 -> 2025-04-22 19:05:15.383884 UTC
Evaluación 97 -> 2025-04-22 19:07:03.602034 UTC
Evaluación 98 -> 2025-04-22 19:09:01.990727 UTC
Evaluación 99 -> 2025-04-22 19:10:52.880751 UTC
Evaluación 100 -> 2025-04-22 19:12:43.209709 UTC


---------------------------------------RPS  mobilenet  BUSQUEDA LOCAL (LIBRE)  61%----------------------------------------------

Start time: 2025-04-22 19:14:32.289146 UTC
Evaluación 1 -> 2025-04-22 19:16:43.286091 UTC
Evaluación 2 -> 2025-04-22 19:18:57.724645 UTC
Evaluación 3 -> 2025-04-22 19:21:13.182356 UTC
Evaluación 4 -> 2025-04-22 19:23:28.911175 UTC
Evaluación 5 -> 2025-04-22 19:25:43.662648 UTC
Evaluación 6 -> 2025-04-22 19:28:05.354888 UTC
Evaluación 7 -> 2025-04-22 19:30:22.213692 UTC
Evaluación 8 -> 2025-04-22 19:33:21.940888 UTC
Evaluación 9 -> 2025-04-22 19:36:34.739380 UTC
Evaluación 10 -> 2025-04-22 19:38:51.618819 UTC
Evaluación 11 -> 2025-04-22 19:41:05.603208 UTC
Evaluación 12 -> 2025-04-22 19:43:22.466308 UTC
Evaluación 13 -> 2025-04-22 19:45:39.439421 UTC
Evaluación 14 -> 2025-04-22 19:47:56.979021 UTC
Evaluación 15 -> 2025-04-22 19:50:14.333377 UTC
Evaluación 16 -> 2025-04-22 19:52:30.566959 UTC
Evaluación 17 -> 2025-04-22 19:54:45.860505 UTC
Evaluación 18 -> 2025-04-22 19:57:00.386768 UTC
Evaluación 19 -> 2025-04-22 19:59:18.224665 UTC
Evaluación 20 -> 2025-04-22 20:01:35.200293 UTC
Evaluación 21 -> 2025-04-22 20:03:48.652958 UTC
Evaluación 22 -> 2025-04-22 20:06:03.129557 UTC
Evaluación 23 -> 2025-04-22 20:08:18.661902 UTC
Evaluación 24 -> 2025-04-22 20:10:26.246983 UTC
Evaluación 25 -> 2025-04-22 20:12:42.531968 UTC
Evaluación 26 -> 2025-04-22 20:14:58.443609 UTC
Evaluación 27 -> 2025-04-22 20:17:38.824293 UTC
Evaluación 28 -> 2025-04-22 20:19:48.523623 UTC
Evaluación 29 -> 2025-04-22 20:22:00.364184 UTC
Evaluación 30 -> 2025-04-22 20:24:20.242623 UTC
Evaluación 31 -> 2025-04-22 20:26:36.898044 UTC
Evaluación 32 -> 2025-04-22 20:28:52.720309 UTC
Evaluación 33 -> 2025-04-22 20:31:06.331982 UTC
Evaluación 34 -> 2025-04-22 20:33:17.316757 UTC
Evaluación 35 -> 2025-04-22 20:35:32.437960 UTC
Evaluación 36 -> 2025-04-22 20:37:51.175634 UTC
Evaluación 37 -> 2025-04-22 20:40:07.703569 UTC
Evaluación 38 -> 2025-04-22 20:42:21.487945 UTC
Evaluación 39 -> 2025-04-22 20:44:34.239386 UTC
Evaluación 40 -> 2025-04-22 20:46:47.612267 UTC
Evaluación 41 -> 2025-04-22 20:49:00.664015 UTC
Evaluación 42 -> 2025-04-22 20:51:21.585278 UTC
Evaluación 43 -> 2025-04-22 20:53:49.324346 UTC
Evaluación 44 -> 2025-04-22 20:56:01.299200 UTC
Evaluación 45 -> 2025-04-22 20:58:15.108368 UTC
Evaluación 46 -> 2025-04-22 21:00:24.179806 UTC
Evaluación 47 -> 2025-04-22 21:02:41.060188 UTC
Evaluación 48 -> 2025-04-22 21:05:03.055366 UTC
Evaluación 49 -> 2025-04-22 21:07:21.693566 UTC
Evaluación 50 -> 2025-04-22 21:09:50.008069 UTC
Evaluación 51 -> 2025-04-22 21:12:07.123488 UTC
Evaluación 52 -> 2025-04-22 21:14:32.358577 UTC
Evaluación 53 -> 2025-04-22 21:17:01.560542 UTC
Evaluación 54 -> 2025-04-22 21:19:34.041880 UTC
Evaluación 55 -> 2025-04-22 21:22:10.468165 UTC
Evaluación 56 -> 2025-04-22 21:24:40.963364 UTC
Evaluación 57 -> 2025-04-22 21:27:23.319660 UTC
Evaluación 58 -> 2025-04-22 21:30:02.164680 UTC
Evaluación 59 -> 2025-04-22 21:32:42.566238 UTC
Evaluación 60 -> 2025-04-22 21:35:24.743912 UTC
Evaluación 61 -> 2025-04-22 21:38:12.523567 UTC
Evaluación 62 -> 2025-04-22 21:41:12.473812 UTC
Evaluación 63 -> 2025-04-22 21:44:04.575444 UTC
Evaluación 64 -> 2025-04-22 21:47:01.837711 UTC
Evaluación 65 -> 2025-04-22 21:50:04.033412 UTC
Evaluación 66 -> 2025-04-22 21:52:51.327921 UTC
Evaluación 67 -> 2025-04-22 21:55:47.986995 UTC
Evaluación 68 -> 2025-04-22 21:58:42.500791 UTC
Evaluación 69 -> 2025-04-22 22:01:25.675901 UTC
