

---------------------------------------RPS  mobilenet  GENETICO2  10%----------------------------------------------

Start time: 2025-04-21 09:24:53.841699 UTC
Evaluación 22 -> 2025-04-21 12:35:37.505017 UTC
Evaluación 23 -> 2025-04-21 12:37:34.740314 UTC
Evaluación 24 -> 2025-04-21 12:39:30.344199 UTC
Evaluación 25 -> 2025-04-21 12:40:26.069470 UTC
Evaluación 26 -> 2025-04-21 12:41:28.281053 UTC
Evaluación 27 -> 2025-04-21 12:43:24.677998 UTC
Evaluación 28 -> 2025-04-21 12:45:37.997684 UTC
Evaluación 29 -> 2025-04-21 12:47:24.551546 UTC
Evaluación 30 -> 2025-04-21 12:49:05.370404 UTC
Evaluación 31 -> 2025-04-21 12:50:23.784510 UTC
Evaluación 32 -> 2025-04-21 12:51:42.019869 UTC
Evaluación 33 -> 2025-04-21 12:52:45.171508 UTC
Evaluación 34 -> 2025-04-21 12:53:44.778579 UTC
Evaluación 35 -> 2025-04-21 12:55:22.090911 UTC
Evaluación 36 -> 2025-04-21 12:56:56.679795 UTC
Evaluación 37 -> 2025-04-21 12:59:24.049526 UTC
Evaluación 38 -> 2025-04-21 13:01:47.903773 UTC
Evaluación 39 -> 2025-04-21 13:03:38.264764 UTC
Evaluación 40 -> 2025-04-21 13:05:26.315998 UTC
Evaluación 41 -> 2025-04-21 13:06:42.054169 UTC
Evaluación 42 -> 2025-04-21 13:07:58.694153 UTC
Evaluación 43 -> 2025-04-21 13:09:08.789190 UTC
Evaluación 44 -> 2025-04-21 13:10:19.383170 UTC
Evaluación 45 -> 2025-04-21 13:11:31.588847 UTC
Evaluación 46 -> 2025-04-21 13:12:43.762401 UTC
Evaluación 47 -> 2025-04-21 13:13:59.159935 UTC
Evaluación 48 -> 2025-04-21 13:15:13.632229 UTC
Evaluación 49 -> 2025-04-21 13:16:03.318701 UTC
Evaluación 50 -> 2025-04-21 13:16:53.329569 UTC
Evaluación 51 -> 2025-04-21 13:18:18.527577 UTC
Evaluación 52 -> 2025-04-21 13:19:47.367778 UTC
Evaluación 53 -> 2025-04-21 13:21:35.634824 UTC
Evaluación 54 -> 2025-04-21 13:23:19.787051 UTC
Evaluación 55 -> 2025-04-21 13:26:30.470992 UTC
Evaluación 56 -> 2025-04-21 13:29:58.273272 UTC
Evaluación 57 -> 2025-04-21 13:32:44.167117 UTC
Evaluación 58 -> 2025-04-21 13:35:20.575390 UTC
Evaluación 59 -> 2025-04-21 13:36:41.835310 UTC
Evaluación 60 -> 2025-04-21 13:38:00.786179 UTC
Evaluación 61 -> 2025-04-21 13:39:39.809353 UTC
Evaluación 62 -> 2025-04-21 13:41:27.226302 UTC
Evaluación 63 -> 2025-04-21 13:44:37.973335 UTC
Evaluación 64 -> 2025-04-21 13:47:31.602026 UTC
Evaluación 65 -> 2025-04-21 13:49:28.303113 UTC
Evaluación 66 -> 2025-04-21 13:51:27.276850 UTC
Evaluación 67 -> 2025-04-21 13:53:17.634939 UTC
Evaluación 68 -> 2025-04-21 13:55:09.967206 UTC
Evaluación 69 -> 2025-04-21 13:57:25.300045 UTC
Evaluación 70 -> 2025-04-21 13:59:37.740227 UTC
Evaluación 71 -> 2025-04-21 14:00:33.810984 UTC
Evaluación 72 -> 2025-04-21 14:01:28.401025 UTC
Evaluación 73 -> 2025-04-21 14:02:42.143961 UTC
Evaluación 74 -> 2025-04-21 14:03:54.966106 UTC
Evaluación 75 -> 2025-04-21 14:06:27.391891 UTC
Evaluación 76 -> 2025-04-21 14:08:54.024888 UTC
Evaluación 77 -> 2025-04-21 14:10:03.671079 UTC
Evaluación 78 -> 2025-04-21 14:11:12.636817 UTC
Evaluación 79 -> 2025-04-21 14:12:52.247678 UTC
Evaluación 80 -> 2025-04-21 14:14:30.867065 UTC
Evaluación 81 -> 2025-04-21 14:16:47.991069 UTC
Evaluación 82 -> 2025-04-21 14:19:11.838534 UTC
Evaluación 83 -> 2025-04-21 14:19:46.136700 UTC
Evaluación 84 -> 2025-04-21 14:20:17.954236 UTC
Evaluación 85 -> 2025-04-21 14:22:27.582823 UTC
Evaluación 86 -> 2025-04-21 14:24:41.222141 UTC
Evaluación 87 -> 2025-04-21 14:27:02.706992 UTC
Evaluación 88 -> 2025-04-21 14:29:51.283964 UTC
Evaluación 89 -> 2025-04-21 14:32:31.554978 UTC
Evaluación 90 -> 2025-04-21 14:35:11.314840 UTC
Evaluación 91 -> 2025-04-21 14:37:17.792033 UTC
Evaluación 92 -> 2025-04-21 14:39:22.257825 UTC
Evaluación 93 -> 2025-04-21 14:41:51.687102 UTC
Evaluación 94 -> 2025-04-21 14:44:41.805240 UTC
Evaluación 95 -> 2025-04-21 14:46:32.698565 UTC
Evaluación 96 -> 2025-04-21 14:48:15.364238 UTC
Evaluación 97 -> 2025-04-21 14:48:50.788685 UTC
Evaluación 98 -> 2025-04-21 14:49:25.533499 UTC
Evaluación 99 -> 2025-04-21 14:50:42.903092 UTC
Evaluación 100 -> 2025-04-21 14:51:59.937191 UTC


---------------------------------------RPS  mobilenet  GENETICO2  75%----------------------------------------------

Start time: 2025-04-21 14:53:33.555027 UTC
Evaluación 1 -> 2025-04-21 14:55:45.072026 UTC
Evaluación 2 -> 2025-04-21 14:57:55.324575 UTC
Evaluación 3 -> 2025-04-21 15:00:06.183352 UTC
Evaluación 4 -> 2025-04-21 15:02:16.724351 UTC
Evaluación 5 -> 2025-04-21 15:04:25.905332 UTC
Evaluación 6 -> 2025-04-21 15:06:35.953149 UTC
Evaluación 7 -> 2025-04-21 15:08:46.377841 UTC
Evaluación 8 -> 2025-04-21 15:10:55.678040 UTC
Evaluación 9 -> 2025-04-21 15:13:07.636650 UTC
Evaluación 10 -> 2025-04-21 15:15:19.078702 UTC
Evaluación 11 -> 2025-04-21 15:18:13.925363 UTC
Evaluación 12 -> 2025-04-21 15:21:27.309497 UTC
Evaluación 13 -> 2025-04-21 15:22:52.555293 UTC
Evaluación 14 -> 2025-04-21 15:24:10.166417 UTC
Evaluación 15 -> 2025-04-21 15:26:47.024011 UTC
Evaluación 16 -> 2025-04-21 15:29:20.239498 UTC
Evaluación 17 -> 2025-04-21 15:31:19.372551 UTC
Evaluación 18 -> 2025-04-21 15:33:17.730421 UTC
Evaluación 19 -> 2025-04-21 15:36:09.917632 UTC
Evaluación 20 -> 2025-04-21 15:38:59.800081 UTC
Evaluación 21 -> 2025-04-21 15:40:07.222896 UTC
Evaluación 22 -> 2025-04-21 15:41:16.066596 UTC
Evaluación 23 -> 2025-04-21 15:43:03.617711 UTC
Evaluación 24 -> 2025-04-21 15:44:52.491197 UTC
Evaluación 25 -> 2025-04-21 15:47:23.593548 UTC
