,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
24,GA-PR,0.5,0 days 01:58:48,0.8065,0.8306,0.8065,0.7993,100,0.5,0.3262,0.3365,0.3373
25,GA-PR,0.75,0 days 02:52:41,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
0,GA-WC-F,0.1,0 days 00:48:16,0.8145,0.8219,0.8145,0.8098,100,0.2131,0.3594,0.3166,0.324
1,GA-WC-F,0.25,0 days 00:54:23,0.8468,0.8471,0.8468,0.8448,100,0.0444,0.3393,0.3304,0.3304
2,GA-WC-F,0.5,0 days 03:25:32,0.8226,0.8442,0.8226,0.8174,100,0.9532,0.3297,0.3381,0.3322
3,GA-WC-F,0.75,0 days 03:40:07,0.8118,0.8326,0.8118,0.7996,100,0.75,0.3397,0.3354,0.3249
0,100%,1.0,0 days 00:03:19,0.8011,0.8155,0.8011,0.7943,1,1.0,0.3333,0.3333,0.3333
1,LS-F,0.06,0 days 00:36:13,0.8091,0.8068,0.8091,0.8061,100,0.0877,0.3891,0.3122,0.2986
2,RS,0.1,0 days 00:38:54,0.7984,0.8004,0.7984,0.7884,100,0.1,0.3929,0.2817,0.3254
3,RS,0.25,0 days 01:19:48,0.8091,0.8253,0.8091,0.8019,100,0.25,0.3333,0.3206,0.346
4,RS,0.5,0 days 02:30:51,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
5,RS,0.75,0 days 02:51:51,0.8199,0.8397,0.8199,0.8118,100,0.75,0.3376,0.3307,0.3317
6,LS,0.1,0 days 00:31:01,0.8091,0.8062,0.8091,0.8043,100,0.1,0.3413,0.3294,0.3294
7,LS,0.25,0 days 01:03:05,0.8387,0.8535,0.8387,0.834,100,0.25,0.3317,0.3349,0.3333
8,LS,0.5,0 days 01:58:32,0.8038,0.8244,0.8038,0.7982,100,0.5,0.327,0.346,0.327
9,LS,0.75,0 days 02:51:27,0.8199,0.83,0.8199,0.813,100,0.75,0.3439,0.3354,0.3206
10,GA,0.1,0 days 00:30:13,0.8253,0.8277,0.8253,0.8209,100,0.1,0.3492,0.3175,0.3333
11,GA,0.25,0 days 01:03:01,0.828,0.8312,0.828,0.8219,100,0.25,0.3429,0.2984,0.3587
12,GA,0.5,0 days 01:57:58,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
13,GA,0.75,0 days 02:52:27,0.8226,0.8401,0.8226,0.8133,100,0.75,0.3381,0.3328,0.3291
14,MA,0.1,0 days 00:30:09,0.8118,0.8161,0.8118,0.8036,100,0.1,0.3492,0.2937,0.3571
15,MA,0.25,0 days 01:02:41,0.8199,0.8341,0.8199,0.8109,100,0.25,0.3159,0.3317,0.3524
16,MA,0.5,0 days 01:59:23,0.8065,0.8307,0.8065,0.8022,100,0.5,0.3262,0.3357,0.3381
17,MA,0.75,0 days 02:52:27,0.828,0.8434,0.828,0.8182,100,0.75,0.3307,0.3423,0.327
18,GA-WC,0.1,0 days 00:30:08,0.8253,0.8274,0.8253,0.8193,100,0.1,0.3532,0.2937,0.3532
19,GA-WC,0.25,0 days 01:03:02,0.828,0.8357,0.828,0.8193,100,0.25,0.3159,0.327,0.3571
20,GA-WC,0.5,0 days 01:59:52,0.8118,0.8335,0.8118,0.8074,100,0.5,0.3349,0.3452,0.3198
21,GA-WC,0.75,0 days 02:53:43,0.8145,0.8356,0.8145,0.8038,100,0.75,0.3286,0.345,0.3265
22,GA-PR,0.1,0 days 00:30:27,0.8065,0.8213,0.8065,0.7955,100,0.1,0.369,0.3016,0.3294
23,GA-PR,0.25,0 days 01:02:20,0.8226,0.8337,0.8226,0.8178,100,0.25,0.3222,0.3333,0.3444
24,GA-PR,0.5,0 days 01:58:32,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
25,GA-PR,0.75,0 days 02:52:39,0.8145,0.8364,0.8145,0.8012,100,0.75,0.3296,0.3397,0.3307
0,GA-WC-F,0.1,0 days 00:51:14,0.8226,0.8244,0.8226,0.8205,100,0.1274,0.3645,0.3084,0.3271
1,GA-WC-F,0.25,0 days 01:47:22,0.8333,0.8436,0.8333,0.8283,100,0.471,0.3294,0.3404,0.3302
2,GA-WC-F,0.5,0 days 02:46:42,0.8226,0.8346,0.8226,0.8155,100,0.531,0.3318,0.3416,0.3266
3,GA-WC-F,0.75,0 days 03:14:51,0.8226,0.8352,0.8226,0.8179,100,0.5151,0.3351,0.3267,0.3382
0,100%,1.0,0 days 00:03:07,0.7849,0.8117,0.7849,0.7779,1,1.0,0.3333,0.3333,0.3333
1,LS-F,0.06,0 days 00:30:42,0.8199,0.8322,0.8199,0.8125,100,0.0655,0.4303,0.2545,0.3152
2,RS,0.1,0 days 00:36:01,0.8065,0.8239,0.8065,0.7937,100,0.1,0.3929,0.3135,0.2937
3,RS,0.25,0 days 01:13:36,0.8065,0.8219,0.8065,0.7975,100,0.25,0.3333,0.319,0.3476
4,RS,0.5,0 days 02:17:24,0.8038,0.8229,0.8038,0.7953,100,0.5,0.3413,0.3365,0.3222
5,RS,0.75,0 days 03:19:17,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
6,LS,0.1,0 days 00:36:38,0.8145,0.8129,0.8145,0.812,100,0.1,0.4206,0.2937,0.2857
7,LS,0.25,0 days 01:12:48,0.8091,0.8263,0.8091,0.8042,100,0.25,0.3429,0.3175,0.3397
8,LS,0.5,0 days 02:17:25,0.8065,0.8366,0.8065,0.8005,100,0.5,0.3302,0.3429,0.327
9,LS,0.75,0 days 03:19:55,0.8226,0.8474,0.8226,0.8146,100,0.75,0.3333,0.3286,0.3381
10,GA,0.1,0 days 00:36:55,0.8199,0.8265,0.8199,0.8116,100,0.1,0.3929,0.254,0.3532
11,GA,0.25,0 days 01:42:36,0.7984,0.8228,0.7984,0.7923,100,0.25,0.3317,0.3254,0.3429
12,GA,0.5,0 days 03:53:27,0.8172,0.8329,0.8172,0.8123,100,0.5,0.3262,0.3294,0.3444
13,GA,0.75,0 days 04:44:00,0.8253,0.8431,0.8253,0.8206,100,0.75,0.3339,0.3328,0.3333
14,MA,0.1,0 days 00:52:48,0.8226,0.8389,0.8226,0.8111,100,0.1,0.3373,0.2857,0.377
15,MA,0.25,0 days 01:21:02,0.8253,0.8332,0.8253,0.8191,100,0.25,0.3444,0.3016,0.354
16,MA,0.5,0 days 02:29:27,0.8038,0.8242,0.8038,0.7977,100,0.5,0.3341,0.3278,0.3381
17,MA,0.75,0 days 03:35:40,0.8199,0.8474,0.8199,0.81,100,0.75,0.3354,0.3344,0.3302
18,GA-WC,0.1,0 days 00:38:41,0.8091,0.8258,0.8091,0.7955,100,0.1,0.3492,0.2698,0.381
19,GA-WC,0.25,0 days 01:18:47,0.8038,0.8215,0.8038,0.7958,100,0.25,0.3254,0.346,0.3286
20,GA-WC,0.5,0 days 02:34:29,0.8172,0.8402,0.8172,0.8098,100,0.5,0.3063,0.3429,0.3508
21,GA-WC,0.75,0 days 04:22:46,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
22,GA-PR,0.1,0 days 00:38:14,0.8199,0.8445,0.8199,0.8061,100,0.1,0.2897,0.3056,0.4048
23,GA-PR,0.25,0 days 01:21:49,0.8145,0.8328,0.8145,0.8092,100,0.25,0.3238,0.3222,0.354
24,GA-PR,0.5,0 days 02:33:50,0.8118,0.8314,0.8118,0.8008,100,0.5,0.3222,0.3317,0.346
25,GA-PR,0.75,0 days 03:40:20,0.8199,0.8309,0.8199,0.8132,100,0.75,0.3376,0.3328,0.3296
0,GA-WC-F,0.1,0 days 00:35:46,0.8199,0.8368,0.8199,0.807,100,0.1171,0.3458,0.2644,0.3898
1,GA-WC-F,0.25,0 days 01:29:28,0.8145,0.8257,0.8145,0.8105,100,0.1798,0.3907,0.3135,0.2958
2,GA-WC-F,0.5,0 days 02:23:33,0.8199,0.8354,0.8199,0.8154,100,0.9933,0.332,0.3348,0.3332
3,GA-WC-F,0.75,0 days 02:44:26,0.8226,0.8423,0.8226,0.817,100,0.6,0.3175,0.3439,0.3386
